Freq.	V(vout2)
1.00000000000000e+02	(6.23669483223690e-04dB,-3.22102600746625e-01°)
1.00230523807790e+02	(6.27309482203489e-04dB,-3.22845268569714e-01°)
1.00461579027840e+02	(6.30966283453703e-04dB,-3.23589649421622e-01°)
1.00693166885180e+02	(6.34639964543015e-04dB,-3.24335747258240e-01°)
1.00925288607668e+02	(6.38330603388940e-04dB,-3.25083566044627e-01°)
1.01157945425990e+02	(6.42038278273247e-04dB,-3.25833109755026e-01°)
1.01391138573668e+02	(6.45763067836179e-04dB,-3.26584382372897e-01°)
1.01624869287070e+02	(6.49505051095728e-04dB,-3.27337387890926e-01°)
1.01859138805412e+02	(6.53264307395568e-04dB,-3.28092130311060e-01°)
1.02093948370768e+02	(6.57040916507261e-04dB,-3.28848613644513e-01°)
1.02329299228075e+02	(6.60834958506832e-04dB,-3.29606841911802e-01°)
1.02565192625141e+02	(6.64646513882759e-04dB,-3.30366819142761e-01°)
1.02801629812647e+02	(6.68475663478122e-04dB,-3.31128549376561e-01°)
1.03038612044162e+02	(6.72322488513738e-04dB,-3.31892036661743e-01°)
1.03276140576140e+02	(6.76187070576586e-04dB,-3.32657285056228e-01°)
1.03514216667934e+02	(6.80069491639095e-04dB,-3.33424298627343e-01°)
1.03752841581801e+02	(6.83969834064922e-04dB,-3.34193081451844e-01°)
1.03992016582906e+02	(6.87888180576168e-04dB,-3.34963637615938e-01°)
1.04231742939330e+02	(6.91824614274588e-04dB,-3.35735971215306e-01°)
1.04472021922080e+02	(6.95779218664728e-04dB,-3.36510086355122e-01°)
1.04712854805090e+02	(6.99752077626929e-04dB,-3.37285987150078e-01°)
1.04954242865232e+02	(7.03743275432747e-04dB,-3.38063677724406e-01°)
1.05196187382322e+02	(7.07752896727596e-04dB,-3.38843162211901e-01°)
1.05438689639126e+02	(7.11781026563530e-04dB,-3.39624444755937e-01°)
1.05681750921366e+02	(7.15827750393454e-04dB,-3.40407529509501e-01°)
1.05925372517729e+02	(7.19893154038338e-04dB,-3.41192420635207e-01°)
1.06169555719872e+02	(7.23977323729639e-04dB,-3.41979122305322e-01°)
1.06414301822431e+02	(7.28080346101588e-04dB,-3.42767638701783e-01°)
1.06659612123026e+02	(7.32202308187325e-04dB,-3.43557974016231e-01°)
1.06905487922266e+02	(7.36343297413115e-04dB,-3.44350132450022e-01°)
1.07151930523760e+02	(7.40503401615701e-04dB,-3.45144118214256e-01°)
1.07398941234124e+02	(7.44682709034585e-04dB,-3.45939935529799e-01°)
1.07646521362983e+02	(7.48881308310096e-04dB,-3.46737588627308e-01°)
1.07894672222983e+02	(7.53099288512320e-04dB,-3.47537081747248e-01°)
1.08143395129794e+02	(7.57336739104450e-04dB,-3.48338419139919e-01°)
1.08392691402120e+02	(7.61593749956284e-04dB,-3.49141605065482e-01°)
1.08642562361706e+02	(7.65870411386649e-04dB,-3.49946643793971e-01°)
1.08893009333343e+02	(7.70166814090117e-04dB,-3.50753539605336e-01°)
1.09144033644875e+02	(7.74483049200639e-04dB,-3.51562296789443e-01°)
1.09395636627209e+02	(7.78819208281901e-04dB,-3.52372919646114e-01°)
1.09647819614318e+02	(7.83175383298394e-04dB,-3.53185412485143e-01°)
1.09900583943252e+02	(7.87551666648195e-04dB,-3.53999779626326e-01°)
1.10153930954141e+02	(7.91948151172603e-04dB,-3.54816025399472e-01°)
1.10407861990207e+02	(7.96364930119502e-04dB,-3.55634154144440e-01°)
1.10662378397766e+02	(8.00802097158776e-04dB,-3.56454170211157e-01°)
1.10917481526240e+02	(8.05259746436313e-04dB,-3.57276077959636e-01°)
1.11173172728159e+02	(8.09737972481424e-04dB,-3.58099881760014e-01°)
1.11429453359173e+02	(8.14236870293633e-04dB,-3.58925585992559e-01°)
1.11686324778056e+02	(8.18756535298309e-04dB,-3.59753195047705e-01°)
1.11943788346715e+02	(8.23297063371736e-04dB,-3.60582713326075e-01°)
1.12201845430196e+02	(8.27858550810256e-04dB,-3.61414145238500e-01°)
1.12460497396692e+02	(8.32441094380404e-04dB,-3.62247495206046e-01°)
1.12719745617551e+02	(8.37044791289976e-04dB,-3.63082767660036e-01°)
1.12979591467279e+02	(8.41669739168745e-04dB,-3.63919967042084e-01°)
1.13240036323555e+02	(8.46316036143661e-04dB,-3.64759097804097e-01°)
1.13501081567231e+02	(8.50983780748217e-04dB,-3.65600164408328e-01°)
1.13762728582343e+02	(8.55673072005365e-04dB,-3.66443171327377e-01°)
1.14024978756116e+02	(8.60384009375443e-04dB,-3.67288123044224e-01°)
1.14287833478977e+02	(8.65116692792815e-04dB,-3.68135024052256e-01°)
1.14551294144553e+02	(8.69871222633083e-04dB,-3.68983878855288e-01°)
1.14815362149688e+02	(8.74647699759363e-04dB,-3.69834691967587e-01°)
1.15080038894443e+02	(8.79446225485645e-04dB,-3.70687467913902e-01°)
1.15345325782109e+02	(8.84266901588357e-04dB,-3.71542211229479e-01°)
1.15611224219209e+02	(8.89109830325646e-04dB,-3.72398926460095e-01°)
1.15877735615512e+02	(8.93975114433517e-04dB,-3.73257618162078e-01°)
1.16144861384034e+02	(8.98862857098833e-04dB,-3.74118290902333e-01°)
1.16412602941049e+02	(9.03773162013306e-04dB,-3.74980949258366e-01°)
1.16680961706096e+02	(9.08706133321423e-04dB,-3.75845597818310e-01°)
1.16949939101987e+02	(9.13661875659013e-04dB,-3.76712241180953e-01°)
1.17219536554813e+02	(9.18640494151316e-04dB,-3.77580883955753e-01°)
1.17489755493952e+02	(9.23642094409118e-04dB,-3.78451530762875e-01°)
1.17760597352080e+02	(9.28666782517180e-04dB,-3.79324186233212e-01°)
1.18032063565172e+02	(9.33714665053515e-04dB,-3.80198855008405e-01°)
1.18304155572516e+02	(9.38785849100956e-04dB,-3.81075541740876e-01°)
1.18576874816716e+02	(9.43880442235583e-04dB,-3.81954251093849e-01°)
1.18850222743701e+02	(9.48998552515143e-04dB,-3.82834987741376e-01°)
1.19124200802737e+02	(9.54140288490622e-04dB,-3.83717756368366e-01°)
1.19398810446427e+02	(9.59305759246732e-04dB,-3.84602561670605e-01°)
1.19674053130724e+02	(9.64495074355631e-04dB,-3.85489408354781e-01°)
