time	V(vout)	V(vout2)
0.000000000000000e+00	0.000000e+00	9.257449e-17
1.000000000000000e-04	0.000000e+00	5.751214e-16
1.000000006677476e-04	6.677476e-03	1.565844e-07
1.000000010357747e-04	1.035775e-02	3.652364e-07
1.000000017718289e-04	1.771829e-02	1.103005e-06
1.000000032439372e-04	3.243937e-02	3.773012e-06
1.000000061881539e-04	6.188154e-02	1.379635e-05
1.000000120765873e-04	1.207659e-01	5.184980e-05
1.000000238534541e-04	2.385345e-01	1.946130e-04
1.000000474071877e-04	4.740719e-01	6.146020e-04
1.000000528925328e-04	5.289253e-01	7.444223e-04
1.000000638632230e-04	6.386322e-01	1.066080e-03
1.000000780586196e-04	7.805862e-01	1.549174e-03
1.000001000000000e-04	1.000000e+00	2.383986e-03
1.000001065824141e-04	1.000000e+00	2.654674e-03
1.000001153589663e-04	1.000000e+00	2.992863e-03
1.000001329120706e-04	1.000000e+00	3.596472e-03
1.000001680182793e-04	1.000000e+00	4.568757e-03
1.000002382306966e-04	1.000000e+00	5.876282e-03
1.000003786555312e-04	1.000000e+00	7.181579e-03
1.000006595052004e-04	1.000000e+00	8.035520e-03
1.000009877266833e-04	1.000000e+00	8.212610e-03
1.000015461668802e-04	1.000000e+00	8.203441e-03
1.000025437023297e-04	1.000000e+00	8.181897e-03
1.000045387732285e-04	1.000000e+00	8.102406e-03
1.000085289150261e-04	1.000000e+00	7.827036e-03
1.000165091986214e-04	1.000000e+00	6.991887e-03
1.000288343062537e-04	1.000000e+00	5.370389e-03
1.000454424034178e-04	1.000000e+00	3.205308e-03
1.000696127794518e-04	1.000000e+00	7.946034e-04
1.000894495551523e-04	1.000000e+00	-2.802079e-04
1.001101643030239e-04	1.000000e+00	-5.757419e-04
1.001325576100616e-04	1.000000e+00	-4.342090e-04
1.001606382797631e-04	1.000000e+00	-1.306820e-04
1.002047367750618e-04	1.000000e+00	1.388720e-04
1.002636036914604e-04	1.000000e+00	2.129198e-04
1.003278420786007e-04	1.000000e+00	2.356489e-04
1.004434143134199e-04	1.000000e+00	3.934348e-04
1.006745587830583e-04	1.000000e+00	9.132123e-04
1.011368477223350e-04	1.000000e+00	2.467965e-03
1.016251289723350e-04	1.000000e+00	4.831058e-03
1.021134102223350e-04	1.000000e+00	8.009900e-03
1.026016914723350e-04	1.000000e+00	1.200105e-02
1.030899727223350e-04	1.000000e+00	1.678734e-02
1.035782539723350e-04	1.000000e+00	2.235270e-02
